epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3169.35,1.73622,0.8416,1.52998,0.69315,0.76433,0.72725,0.26384,2.28341,1.01504,2.00531,0.000495266,0.000495266,0.000495266
73,3213.26,1.73125,0.8347,1.51243,0.708,0.74557,0.73336,0.2676,2.28291,1.0105,2.01098,0.000478762,0.000478762,0.000478762
74,3257.07,1.73045,0.83341,1.52744,0.70699,0.74679,0.73684,0.26488,2.28311,1.01177,2.01761,0.000462259,0.000462259,0.000462259
75,3300.81,1.72133,0.8267,1.51383,0.69597,0.77066,0.73398,0.26575,2.2914,1.01257,2.01862,0.000445756,0.000445756,0.000445756
76,3344.71,1.72496,0.834,1.5126,0.69261,0.76638,0.72646,0.25943,2.29205,1.01399,2.01468,0.000429253,0.000429253,0.000429253
77,3388.5,1.71646,0.8171,1.51199,0.68865,0.7578,0.7183,0.25741,2.31181,1.01316,2.02734,0.000412749,0.000412749,0.000412749
78,3432.28,1.70893,0.82219,1.51157,0.70064,0.755,0.7278,0.26197,2.29485,1.01339,2.02892,0.000396246,0.000396246,0.000396246
79,3476.13,1.70831,0.82425,1.50548,0.69235,0.74985,0.72283,0.25741,2.30369,1.02754,2.02631,0.000379743,0.000379743,0.000379743
80,3519.71,1.70244,0.8194,1.50051,0.70429,0.73673,0.72066,0.25875,2.2964,1.01865,2.02175,0.000363239,0.000363239,0.000363239
81,3563.03,1.68842,0.81002,1.49048,0.69485,0.76495,0.72066,0.25722,2.30845,1.01183,2.03548,0.000346736,0.000346736,0.000346736
82,3606.27,1.68989,0.80233,1.50588,0.69256,0.75702,0.72571,0.26136,2.31109,1.01381,2.04748,0.000330233,0.000330233,0.000330233
83,3649.54,1.6988,0.80855,1.50945,0.68675,0.76229,0.71897,0.25525,2.32163,1.01437,2.04839,0.000313729,0.000313729,0.000313729
84,3692.78,1.69191,0.81639,1.49893,0.70022,0.7492,0.72493,0.2595,2.31169,1.00652,2.03592,0.000297226,0.000297226,0.000297226
85,3736.07,1.68399,0.80874,1.50084,0.71956,0.72944,0.72719,0.26133,2.31716,0.99977,2.0496,0.000280723,0.000280723,0.000280723
86,3779.3,1.67626,0.80061,1.50284,0.70078,0.75332,0.72491,0.26014,2.31899,0.99963,2.04548,0.00026422,0.00026422,0.00026422
87,3822.53,1.67343,0.79548,1.48311,0.70189,0.74365,0.72108,0.25495,2.3183,1.00642,2.04866,0.000247716,0.000247716,0.000247716
88,3865.81,1.66961,0.79462,1.48589,0.70221,0.74352,0.71891,0.25499,2.32305,1.01226,2.05057,0.000231213,0.000231213,0.000231213
89,3909.12,1.66752,0.79679,1.48464,0.71036,0.73679,0.72773,0.25823,2.3205,1.00801,2.05897,0.00021471,0.00021471,0.00021471
90,3952.32,1.6546,0.78936,1.47926,0.70785,0.74944,0.72637,0.25785,2.32113,1.00447,2.05421,0.000198206,0.000198206,0.000198206
91,4010.11,1.66984,0.72431,1.55412,0.70045,0.74536,0.72156,0.25559,2.32944,1.01256,2.06364,0.000181703,0.000181703,0.000181703
92,4052.73,1.65395,0.71237,1.54489,0.7096,0.74038,0.72384,0.25634,2.33036,1.01085,2.06404,0.0001652,0.0001652,0.0001652
93,4095.35,1.64798,0.70694,1.54001,0.71805,0.7374,0.728,0.25633,2.33213,1.00699,2.06824,0.000148696,0.000148696,0.000148696
94,4138.06,1.63811,0.7087,1.54183,0.70436,0.74424,0.72594,0.25701,2.33253,1.00976,2.07192,0.000132193,0.000132193,0.000132193
95,4180.73,1.63385,0.70513,1.53374,0.70411,0.7395,0.72189,0.25675,2.33664,1.01227,2.07619,0.00011569,0.00011569,0.00011569
96,4223.54,1.63201,0.70386,1.53312,0.70862,0.73788,0.72244,0.25443,2.33939,1.00682,2.07396,9.91865e-05,9.91865e-05,9.91865e-05
97,4267.23,1.6236,0.69996,1.53429,0.69667,0.75401,0.72461,0.25521,2.33895,1.00629,2.0802,8.26832e-05,8.26832e-05,8.26832e-05
98,4310.49,1.62261,0.69905,1.52969,0.71029,0.74085,0.72788,0.25725,2.33666,1.00248,2.07633,6.61799e-05,6.61799e-05,6.61799e-05
99,4353.83,1.61667,0.70041,1.52923,0.71249,0.73373,0.72189,0.25384,2.33988,1.00673,2.08091,4.96766e-05,4.96766e-05,4.96766e-05
100,4397.27,1.61363,0.69589,1.52302,0.71282,0.73538,0.72283,0.25444,2.33868,1.00641,2.08123,3.31733e-05,3.31733e-05,3.31733e-05
